"Tidsstempel","For how long have you been knitting?","How often do you knit?","How many consecutive hours do you knit per session? (Chose the answer that fits the best on average)","Where are you based?","Why do you knit? ","How did you learn how to knit?","Where do you most often knit?","Where do you get inspiration for new knitting designs from?  ","What is your favorite type(s) of knitting project? ","What size of knitting project do you often do?","How do you choose yarn for your projects? ","Where do you often buy yarn and why?","Is there anything you would like to add about your life as a knitter? ","Which tools/haberdashery/equipment have you used during a knitting project? Choose all you have ever used","Choose the 3 most important tools (I know it can be difficult)","When starting a new knitting project do you make sure you are able to execute the pattern or do you just jump directly into it?","Please elaborate on your question above. E.g., what motivates you about a pattern?, where do you learn new skills?","Where do you mostly get help if you encounter a problem or a technique/stitch type you can't execute?","Do you prefer physical or digital knitting patterns?","What tools would be preferable to have in an knitting app? ","Would sharing the information in the app be a necesity? (E.g., be able to see the your registered amount of yarn on multiple devices)","If yes: why would it be nice to share the data? Is there some situations where it could beneficial?","Do you have anything else to share when talking about knitting apps?","Is there anything you would like to add?"
"2022/10/08 2:35:51 PM CET","More than 20 years","","1 - 2 hours","USA","Being creative by trying new stitch types, knitting techniques or new designs","The older generations in my family passed the craft on to me","At home","Social media (e.g., Instagram, YouTube, TikTok, Facebook, Pinterest)","Knitwear for myself;Gifts for friends and family","Large projects (E.g., adults knitwear)","I choose yarn based on its quality/texture/material/color","Physical shops to be able to feel the yarn","","Stitch markers;Measureing tape;Circular needles;Double-pointed needles;Knitting needles (straight knitting needles);Cable needles;Trio needles;Needle gauge;Yarn needles;Scissor / Yarn cutter;Wool winder","Measureing tape;Circular needles;Double-pointed needles","The difficult level/techniques doesn't hold me back. I will just jump into it!","","YouTube offers great help","Physical","Digital patterns;Video tutorials","No, I would like to keep my data on one device","","",""
"2022/10/08 2:44:58 PM CET","More than 20 years","Daily","1 - 2 hours","Spain","Get relaxed and relief stress;Being creative by trying new stitch types, knitting techniques or new designs;To let the hours pass by (eg., while traveling, watching TV)","The older generations in my family passed the craft on to me","At home","Social media (e.g., Instagram, YouTube, TikTok, Facebook, Pinterest);Pattern sellers (e.g., Ravelry, Etsy, Yarnbook)","Knitwear for myself;Knitwear for my children","Large projects (E.g., adults knitwear)","I often choose the yarn that is one sale or if there is a great offer","Physical shops to be able to feel the yarn;Online shops because the yarn selection (brands, material, colors) is greater","","Stitch markers;Measureing tape;Stitch holder cord;Circular needles;Double-pointed needles;Knitting needles (straight knitting needles);Cable needles;Needle gauge;Row/round counter / knitting counter;Yarn needles;Equiment for blocking;Yarn brush / yarn shaver;Scissor / Yarn cutter;Wool winder;Stitch stoppers / point protectors;Knitting app(s);Notebook & pen","Stitch markers;Circular needles;Yarn needles","The difficult level/techniques doesn't hold me back. I will just jump into it!","I’m an advanced knitter, but in case I find a new technique in a pattern I search for a tutorial on YouTube ","YouTube offers great help","Digital","Overview of knitting projects;Digital patterns;Knitting counter;Tool for calculating yarn amount;Video tutorials;General notes","Yes, it could be nice to share the data on multiple devices","I use knitting apps in my iPad, but would be helpful to be able to share the data with my phone in case I want to access it when I’m at a LYS, in public transport…","It would be very helpful to have a tool to make your own charts",""
"2022/10/08 3:20:08 PM CET","11 - 20 years","Weekly","1 - 2 hours","USA","Get relaxed and relief stress;Being creative by trying new stitch types, knitting techniques or new designs;Trying to live more sustainable","Via books and magazines","At home","Social media (e.g., Instagram, YouTube, TikTok, Facebook, Pinterest);Pattern sellers (e.g., Ravelry, Etsy, Yarnbook)","Knitwear for myself;Gifts for friends and family;Household items","Small projects (E.g., gloves, hats, socks, cloths)","I have soooo much yarn at home;I choose yarn based on its quality/texture/material/color","Physical shops to be able to feel the yarn;Online shops because it is often cheaper;Online shops because the yarn selection (brands, material, colors) is greater","","Stitch markers;Measureing tape;Stitch holder cord;Circular needles;Double-pointed needles;Knitting needles (straight knitting needles);Cable needles;Needle gauge;Swatch gauge;Row/round counter / knitting counter;Yarn needles;Equiment for blocking;Yarn brush / yarn shaver;Scissor / Yarn cutter;Wool winder;Knit ring / yarn guide;Stitch stoppers / point protectors;Notebook & pen","Circular needles;Swatch gauge;Yarn needles","The difficult level/techniques doesn't hold me back. I will just jump into it!","If I like a pattern I will learn the techniques to execute it. For example, my first two completed knitting projects were socks (foot up and afterthought toe) and a double knit colorwork wrap. While I learned to knit via book, these days there are a lot of online resources for learning.","YouTube offers great help","Physical","I haven't used an app that I prefer over physical, so I'm probably not the right demographic to ask.","No, I would like to keep my data on one device","","",""
"2022/10/08 3:25:44 PM CET","More than 20 years","Daily","1 - 2 hours","USA","Get relaxed and relief stress;To make clothing I cant buy in stores or online","The basics from my grandmotner, and all of the above for me","Every where I go except work","Social media (e.g., Instagram, YouTube, TikTok, Facebook, Pinterest);Pattern sellers (e.g., Ravelry, Etsy, Yarnbook);Magazines","Knitwear for myself;Gifts for friends and family;Charity knitting , hats","Small projects (E.g., gloves, hats, socks, cloths)","Refferal from lys","Physical shops to be able to feel the yarn","","Stitch markers;Measureing tape;Stitch holder cord;Circular needles;Double-pointed needles;Knitting needles (straight knitting needles);Cable needles;Needle gauge;Swatch gauge;Row/round counter / knitting counter;Yarn needles;Yarn brush / yarn shaver;Scissor / Yarn cutter;Wool winder;Notebook & pen","Double-pointed needles;Knitting needles (straight knitting needles);Row/round counter / knitting counter","The difficult level/techniques doesn't hold me back. I will just jump into it!","The design,  Lys, internet, magazines,","YouTube offers great help","Physical","Storage for yarn and needles;Overview of knitting projects;Digital patterns;Knitting counter;Tool for calculating yarn amount;Page for inspiration;Location of yarn shops;Video tutorials;General notes","No, I would like to keep my data on one device","","",""
"2022/10/08 4:45:56 PM CET","More than 20 years","Daily","1 - 2 hours","USA","Being creative by trying new stitch types, knitting techniques or new designs;To let the hours pass by (eg., while traveling, watching TV);Enjoying the process of creating useful items;To make knitwear that fits exactly on my body","The older generations in my family passed the craft on to me","At home","Pattern sellers/databases (e.g., Ravelry, Etsy, Yarnbook);Magazines;Yarn shops;Personal websites of knitwear designers","Knitwear for myself","Large projects (E.g., adults knitwear)","I have soooo much yarn at home; Craft fairs and knitting festivals","Physical shops to be able to feel the yarn;Yarn shows / yarn festivals","","Stitch markers;Measureing tape;Circular needles;Double-pointed needles;Knitting needles (straight knitting needles);Cable needles (Short, straight/curved needle to hold stitches in cable knitting);Needle gauge;Swatch gauge;Row/round counter / knitting counter;Yarn needles (For weaving in yarn e.g., yarn ends);Equiment for blocking;Yarn brush / yarn shaver;Scissor / Yarn cutter;Wool winder;Swift, locking stitch markers, waste yarn","Circular needles;Wool winder;Swift","The difficult level/techniques doesn't hold me back. I will just jump into it!","I evaluate my wardrobe needs and, to a lesser extent, current fashion","I rarely encounter something I cannot execute. ","Physical","Page for inspiration;Video tutorials;General notes","Yes, it could be nice to share the data on multiple devices","The phone screen is useful when away from home, but the screen is too small for regular use. ","I don’t know that I would use something unless it had a way to show stitch patterns. A less experienced knitter might find it more useful. ",""
"2022/10/08 4:56:20 PM CET","11 - 20 years","Daily","Less than an hour","Germany","Get relaxed and relief stress;Being creative by trying new stitch types, knitting techniques or new designs;To let the hours pass by (eg., while traveling, watching TV);Enjoying the process of creating useful items;To make knitwear that fits exactly on my body","The older generations in my family passed the craft on to me","At home","Pattern sellers/databases (e.g., Ravelry, Etsy, Yarnbook);Magazines;My imagination","Knitwear for myself","Small projects (E.g., gloves, hats, socks, cloths)","I choose yarn based on its quality/texture/material/color;I spin my own yarn","Physical shops to be able to feel the yarn;Online shops because the yarn selection (brands, material, colors) is greater","","Stitch markers;Measureing tape;Circular needles;Double-pointed needles;Knitting needles (straight knitting needles);Cable needles (Short, straight/curved needle to hold stitches in cable knitting);Needle gauge;Yarn needles (For weaving in yarn e.g., yarn ends);Yarn brush / yarn shaver;Scissor / Yarn cutter;Darning egg;Notebook & pen","Circular needles;Double-pointed needles;Scissor / Yarn cutter","The difficult level/techniques doesn't hold me back. I will just jump into it!","I am motivated when I like the idea of wearing it when finished. I love to learn little more with each project. For learning new techniques I use very different options - friends, books, internet (Ravelry, Youtube)","YouTube offers great help","Physical","Overview of knitting projects;Digital patterns;Tool for calculating yarn amount","Yes, it could be nice to share the data on multiple devices","","",""
"2022/10/08 5:14:14 PM CET","More than 20 years","Daily","More than 5 hours","Switzerland","Get relaxed and relief stress;To let the hours pass by (eg., while traveling, watching TV);Creating knitwear designs I can't buy;Enjoying the process of creating useful items;To make knitwear that fits exactly on my body","The older generations in my family passed the craft on to me","At home","Pattern sellers/databases (e.g., Ravelry, Etsy, Yarnbook)","Knitwear for myself;Gifts for friends and family","Large projects (E.g., adults knitwear)","I have soooo much yarn at home;I buy yarn from my favorite manufacturer;I choose yarn based on its quality/texture/material/color","independent hand dyers' online shops - buy directly from the dyer","","Stitch markers;Measureing tape;Circular needles;Double-pointed needles;Trio needles / Flexiflips (Hybrid between double-pointed needle and circular needle);Needle gauge;Swatch gauge;Yarn needles (For weaving in yarn e.g., yarn ends);Equiment for blocking;Scissor / Yarn cutter;Wool winder;Stitch stoppers / point protectors;Notebook & pen","Circular needles;Scissor / Yarn cutter;Wool winder","The difficult level/techniques doesn't hold me back. I will just jump into it!","I learn new skills by reading the pattern carefully.","Ask / find answers on internet forums / blogs","Digital","Overview of knitting projects;Overview of gauge swatches;Tool for calculating yarn amount","Yes, it could be nice to share the data on multiple devices","I prefer doing most things using my computer, but it's handy to be able to look things up on my cell phone while out and about.","",""
"2022/10/08 5:46:57 PM CET","More than 20 years","Daily","3 - 4 hours","USA","For charity and human in needs;To make knitwear that fits exactly on my body","My grandmother taught me to handknit and crochet when I was about 10 years old: I taught myself to machine knit in my 30s (1990s or thereabouts).","At home","Social media (e.g., Instagram, YouTube, TikTok, Facebook, Pinterest);Pattern sellers/databases (e.g., Ravelry, Etsy, Yarnbook);My imagination","Charity","Large projects (E.g., adults knitwear)","I have soooo much yarn at home;I often choose the yarn that is one sale or if there is a great offer;I spin my own yarn","I haven't bought any new year in years - my personal stash will outlast me!","","Stitch markers;Measureing tape;Circular needles;Knitting needles (straight knitting needles);Cable needles (Short, straight/curved needle to hold stitches in cable knitting);Needle gauge;Swatch gauge;Row/round counter / knitting counter;Yarn needles (For weaving in yarn e.g., yarn ends);Equiment for blocking;Scissor / Yarn cutter;Wool winder;Notebook & pen;Knitting machines in bulky, standard, and mid-gauge ranges! Knitting (garment and stitch patterns) design software","Circular needles;Row/round counter / knitting counter;Equiment for blocking","Make sure I can do ALL the techniques","I am a self-taught hand and machine  knitter, so I learn through trial and error.","YouTube offers great help","Digital","Storage for yarn and needles;Digital patterns;Knitting counter;Tool for calculating yarn amount;General notes","No, I would like to keep my data on one device","","",""
"2022/10/08 5:53:34 PM CET","11 - 20 years","Daily","1 - 2 hours","Japan","Get relaxed and relief stress;To let the hours pass by (eg., while traveling, watching TV);Enjoying the process of creating useful items","At social media (e.g., Instagram, YouTube, TikTok, Facebook, Pinterest)","At home","Social media (e.g., Instagram, YouTube, TikTok, Facebook, Pinterest);Pattern sellers/databases (e.g., Ravelry, Etsy, Yarnbook);Magazines;Yarn shops;My imagination","Knitwear for myself;Household items","Small projects (E.g., gloves, hats, socks, cloths)","I have soooo much yarn at home;I choose yarn based on its quality/texture/material/color","Physical shops to be able to feel the yarn;Online shops because the yarn selection (brands, material, colors) is greater","","Stitch markers;Measureing tape;Circular needles;Double-pointed needles;Knitting needles (straight knitting needles);Cable needles (Short, straight/curved needle to hold stitches in cable knitting);Needle gauge;Yarn needles (For weaving in yarn e.g., yarn ends);Equiment for blocking;Scissor / Yarn cutter;Wool winder;Stitch stoppers / point protectors;Notebook & pen","Measureing tape;Circular needles;Yarn needles (For weaving in yarn e.g., yarn ends)","Make sure I can do ALL the techniques","","YouTube offers great help","Digital","Storage for yarn and needles;Overview of knitting projects;Digital patterns;Page for inspiration;Location of yarn shops;Video tutorials","Yes, it could be nice to share the data on multiple devices","","",""
"2022/10/08 6:07:38 PM CET","More than 20 years","Daily","1 - 2 hours","USA","Get relaxed and relief stress;Being social;Being creative by trying new stitch types, knitting techniques or new designs;Trying to live more sustainable;For charity and human in needs;Creating knitwear designs I can't buy;Enjoying the process of creating useful items","The older generations in my family passed the craft on to me","At home","Pattern sellers/databases (e.g., Ravelry, Etsy, Yarnbook);Magazines;My imagination","Gifts for friends and family;Charity","Large projects (E.g., adults knitwear)","I have soooo much yarn at home;I choose yarn based on its quality/texture/material/color","Physical shops to be able to feel the yarn;Online shops because the physical shop is too far away from my position;Online shops to get a better overview","","Stitch markers;Measureing tape;Stitch holder cord;Circular needles;Double-pointed needles;Knitting needles (straight knitting needles);Cable needles (Short, straight/curved needle to hold stitches in cable knitting);Needle gauge;Yarn needles (For weaving in yarn e.g., yarn ends);Equiment for blocking;Yarn brush / yarn shaver;Scissor / Yarn cutter;Wool winder;Stitch stoppers / point protectors","Measureing tape;Circular needles;Double-pointed needles","The difficult level/techniques doesn't hold me back. I will just jump into it!","Need, available yarn , and pattern.  I have given up on a few patterns that were beyond my skill, would take too much time, or didn't turn out to my liking","Knitter's Guild Association has a three year program to qualify as a Master Hand Knitter","Physical","Tool for calculating yarn amount;Video tutorials","No, I would like to keep my data on one device","","",""
"2022/10/08 8:13:43 PM CET","More than 20 years","Weekly","3 - 4 hours","Canada","Get relaxed and relief stress;Being creative by trying new stitch types, knitting techniques or new designs;To let the hours pass by (eg., while traveling, watching TV);Trying to live more sustainable;Enjoying the process of creating useful items;To make knitwear that fits exactly on my body","The older generations in my family passed the craft on to me","At home","Social media (e.g., Instagram, YouTube, TikTok, Facebook, Pinterest);Pattern sellers/databases (e.g., Ravelry, Etsy, Yarnbook);Fashion industry","Knitwear for myself;Household items","Large projects (E.g., adults knitwear)","I have soooo much yarn at home;I choose yarn based on its quality/texture/material/color","Online shops because it is often cheaper","","Stitch markers;Measureing tape;Circular needles;Double-pointed needles;Knitting needles (straight knitting needles);Cable needles (Short, straight/curved needle to hold stitches in cable knitting);Needle gauge;Swatch gauge;Yarn needles (For weaving in yarn e.g., yarn ends);Stitch stoppers / point protectors;Notebook & pen","Stitch markers;Double-pointed needles;Knitting needles (straight knitting needles)","The difficult level/techniques doesn't hold me back. I will just jump into it!","If I want to make something I just start and work out new stuff as I go along.Frog if needed until I get the new technique.","Books","Physical","Digital patterns;Page for inspiration","Yes, it could be nice to share the data on multiple devices","Would be good to have it available on a laptop or tablet maybe.Personally I would use it on my phone.","I probably wouldn't use an app as I am a fairly experienced knitter but newbies might find it usefull","Good luck with your project!"
"2022/10/08 10:03:54 PM CET","More than 20 years","Daily","Less than an hour","USA","Get relaxed and relief stress;Being creative by trying new stitch types, knitting techniques or new designs;Enjoying the process of creating useful items","Via books and magazines","At home","Pattern sellers/databases (e.g., Ravelry, Etsy, Yarnbook);Magazines;Personal websites of knitwear designers;My imagination","Knitwear for myself;Gifts for friends and family","Large projects (E.g., adults knitwear)","I have soooo much yarn at home;I choose yarn based on its quality/texture/material/color;I spin my own yarn","Physical shops to be able to feel the yarn;Online shops because the yarn selection (brands, material, colors) is greater;Online shops because the physical shop is too far away from my position;Yarn shows / yarn festivals","","Stitch markers;Measureing tape;Circular needles;Double-pointed needles;Cable needles (Short, straight/curved needle to hold stitches in cable knitting);Trio needles / Flexiflips (Hybrid between double-pointed needle and circular needle);Needle gauge;Swatch gauge;Row/round counter / knitting counter;Yarn needles (For weaving in yarn e.g., yarn ends);Equiment for blocking;Yarn threader;Yarn brush / yarn shaver;Scissor / Yarn cutter;Wool winder;Stitch stoppers / point protectors;Notebook & pen","Circular needles;Swatch gauge;Notebook & pen","The difficult level/techniques doesn't hold me back. I will just jump into it!","","Books","Physical","Knitting counter;Tool for calculating yarn amount","No, I would like to keep my data on one device","","Haven't found one necessary yet, but I'm a dinosaur. I may try Knit COmpanion though.",""
"2022/10/08 10:13:25 PM CET","More than 20 years","Daily","1 - 2 hours","USA","Get relaxed and relief stress;Being social;To let the hours pass by (eg., while traveling, watching TV);Enjoying the process of creating useful items;To make knitwear that fits exactly on my body","Through friends","At home","Pattern sellers/databases (e.g., Ravelry, Etsy, Yarnbook)","Knitwear for myself;Gifts for friends and family;Household items;Charity","Small projects (E.g., gloves, hats, socks, cloths)","I have soooo much yarn at home;I often choose the yarn that is one sale or if there is a great offer;I choose yarn based on its quality/texture/material/color;I spin my own yarn","Online shops because it is often cheaper;Online shops because the yarn selection (brands, material, colors) is greater;Yarn shows / yarn festivals","","Stitch markers;Measureing tape;Stitch holder cord;Circular needles;Double-pointed needles;Cable needles (Short, straight/curved needle to hold stitches in cable knitting);Needle gauge;Swatch gauge;Row/round counter / knitting counter;Yarn needles (For weaving in yarn e.g., yarn ends);Equiment for blocking;Scissor / Yarn cutter;Wool winder;Darning egg;Knitting app(s)","Stitch markers;Circular needles;Equiment for blocking","The difficult level/techniques doesn't hold me back. I will just jump into it!","I choose patterns based on the finished product--what would I like to have or gift to someone?","YouTube offers great help","Digital","Knitting counter","No, I would like to keep my data on one device","adding project notes to Ravelry","I use KnitCompanion and GoodReader on my iPad, depending on level of complexity etc. Mostly I just want to see the pattern and keep track of my place.",""
"2022/10/08 10:35:17 PM CET","More than 20 years","Daily","Less than an hour","USA","To let the hours pass by (eg., while traveling, watching TV);Trying to live more sustainable;Enjoying the process of creating useful items;To make knitwear that fits exactly on my body","Via books and magazines","At home","Social media (e.g., Instagram, YouTube, TikTok, Facebook, Pinterest);Pattern sellers/databases (e.g., Ravelry, Etsy, Yarnbook);stitch dictionaries","Knitwear for myself;Household items","Small projects (E.g., gloves, hats, socks, cloths)","I have soooo much yarn at home;I choose yarn based on its quality/texture/material/color;I spin my own yarn","Online shops because the physical shop is too far away from my position","","Stitch markers;Measureing tape;Circular needles;Double-pointed needles;Knitting needles (straight knitting needles);Cable needles (Short, straight/curved needle to hold stitches in cable knitting);Trio needles / Flexiflips (Hybrid between double-pointed needle and circular needle);Needle gauge;Swatch gauge;Row/round counter / knitting counter;Yarn needles (For weaving in yarn e.g., yarn ends);Equiment for blocking;Yarn threader;Scissor / Yarn cutter;Wool winder;Darning egg;Knitting app(s);Notebook & pen","Circular needles;Wool winder;Notebook & pen","The difficult level/techniques doesn't hold me back. I will just jump into it!","Knitting is forgiving. Mistakes are easily undone and no one is the wiser it happened. I learn new skills from YouTube and general internet search. ","YouTube offers great help","Digital","Digital patterns;Knitting counter;General notes","Yes, it could be nice to share the data on multiple devices","","While I love KnitCompanion it is a drain on my iPad's battery. I don't feel like I get enough knitting time before I have to charge the iPad again. My house is old so outlets are few.",""
"2022/10/08 11:34:25 PM CET","More than 20 years","Daily","3 - 4 hours","USA","Get relaxed and relief stress;Being creative by trying new stitch types, knitting techniques or new designs;To let the hours pass by (eg., while traveling, watching TV);Trying to live more sustainable;For charity and human in needs;Creating knitwear designs I can't buy;Enjoying the process of creating useful items;For my family needs and for my fashion sense (two separate answers) ","My daughter taught me","At home","Pattern sellers/databases (e.g., Ravelry, Etsy, Yarnbook);My imagination;Vintage and antique knitting book collection passed down in my family many generations ","Knitwear for myself;Gifts for friends and family;Household items;Knitwear for my children;Knitwear for my grandchildren / great-grandchildren","Large projects (E.g., adults knitwear)","I have soooo much yarn at home;I choose yarn based on its quality/texture/material/color","Physical shops to be able to feel the yarn;Online shops to get a better overview","","Stitch markers;Measureing tape;Stitch holder cord;Circular needles;Double-pointed needles;Cable needles (Short, straight/curved needle to hold stitches in cable knitting);Trio needles / Flexiflips (Hybrid between double-pointed needle and circular needle);Needle gauge;Row/round counter / knitting counter;Yarn needles (For weaving in yarn e.g., yarn ends);Equiment for blocking;Scissor / Yarn cutter;Wool winder","Stitch markers;Measureing tape;Row/round counter / knitting counter","The difficult level/techniques doesn't hold me back. I will just jump into it!","I read the directions carefully as I try the new technique. If that doesn’t work I search online for written directions with pictures. I do not like knitting videos for this because they talk to fast and demonstrate too fast and I like to try it oyt as I read it. ","See above. I prefer websites that show written techniques with step by step photos. That is how I best learn and problem solve. ","Physical","Knitting counter;Tool for calculating yarn amount;Location of yarn shops","No, I would like to keep my data on one device","","Most apps I’ve tried are soon abandoned because they try to replicate Ravelry. Give us the things Ravelry DOESNT! Such as storage of digital patterns Not purchased on Ravelry (but already in electronic format) and in-ap row counter. ",""
"2022/10/08 11:44:57 PM CET","More than 20 years","Daily","1 - 2 hours","USA","To let the hours pass by (eg., while traveling, watching TV);For charity and human in needs;Habit. I can't waych TV or read without knitting. Thank heavens for eReaders!","The older generations in my family passed the craft on to me","At home","Pattern sellers/databases (e.g., Ravelry, Etsy, Yarnbook);Magazines","Knitwear for myself","Large projects (E.g., adults knitwear)","Usually its the weight suggested by the pattern. If i don't have it at home, I'll look in my local shop, then at my favourite on line stores.","Physical shops to be able to feel the yarn;Yarn shows / yarn festivals","","Stitch markers;Measureing tape;Circular needles;Double-pointed needles;Knitting needles (straight knitting needles);Cable needles (Short, straight/curved needle to hold stitches in cable knitting);Needle gauge;Row/round counter / knitting counter;Yarn needles (For weaving in yarn e.g., yarn ends);Scissor / Yarn cutter;Stitch stoppers / point protectors;Darning egg;Knitting app(s)","Stitch markers;Circular needles;Needle gauge","Make sure I can do ALL the techniques","I had a wonderful shop owner (now retired) who taught classes from whom I learned a lot!","My local yarn shop is always ready to help me","Physical","Overview of knitting projects;Knitting counter;Tool for calculating yarn amount;Location of yarn shops;General notes","Yes, it could be nice to share the data on multiple devices","I have multiple tablets and a laptop. It would be nice to see where I am on a project on each of those devices.","It should work on both Android  and Apple powered devices.",""
"2022/10/09 12:08:23 AM CET","6 - 10 years","Daily","1 - 2 hours","USA","Get relaxed and relief stress;Being creative by trying new stitch types, knitting techniques or new designs;To let the hours pass by (eg., while traveling, watching TV);Enjoying the process of creating useful items;To make knitwear that fits exactly on my body","At social media (e.g., Instagram, YouTube, TikTok, Facebook, Pinterest)","At home","Social media (e.g., Instagram, YouTube, TikTok, Facebook, Pinterest);Pattern sellers/databases (e.g., Ravelry, Etsy, Yarnbook)","Knitwear for myself;Gifts for friends and family;Household items","Small projects (E.g., gloves, hats, socks, cloths)","I have soooo much yarn at home;I buy yarn from my favorite manufacturer","Physical shops to be able to feel the yarn;Online shops because the yarn selection (brands, material, colors) is greater;Online shops because the physical shop is too far away from my position","","Stitch markers;Measureing tape;Stitch holder cord;Circular needles;Double-pointed needles;Cable needles (Short, straight/curved needle to hold stitches in cable knitting);Row/round counter / knitting counter;Yarn needles (For weaving in yarn e.g., yarn ends);Equiment for blocking;Scissor / Yarn cutter;Wool winder;Notebook & pen","Stitch markers;Measureing tape;Circular needles","Make sure I can do ALL the techniques","If I come across a technique I don’t know, I’ll turn to YouTube to learn how to do it.","YouTube offers great help","Physical","Tool for calculating yarn amount","Yes, it could be nice to share the data on multiple devices","I do most things on my iPad, because of the larger screen, but it’s nice to be able to use my phone if 8m out and about and need that information.","",""
"2022/10/09 1:01:05 AM CET","More than 20 years","Weekly","1 - 2 hours","USA","Get relaxed and relief stress;To let the hours pass by (eg., while traveling, watching TV);For charity and human in needs;Enjoying the process of creating useful items;To make knitwear that fits exactly on my body","Via books and magazines","At home","Pattern sellers/databases (e.g., Ravelry, Etsy, Yarnbook);Magazines","Knitwear for myself;Charity","Large projects (E.g., adults knitwear)","I have soooo much yarn at home","Online shops because it is often cheaper;Online shops because the yarn selection (brands, material, colors) is greater;Online shops because the physical shop is too far away from my position","","Stitch markers;Measureing tape;Stitch holder cord;Circular needles;Double-pointed needles;Knitting needles (straight knitting needles);Cable needles (Short, straight/curved needle to hold stitches in cable knitting);Needle gauge;Yarn needles (For weaving in yarn e.g., yarn ends);Scissor / Yarn cutter;Wool winder;Stitch stoppers / point protectors;Notebook & pen","Measureing tape;Circular needles;Yarn needles (For weaving in yarn e.g., yarn ends)","The difficult level/techniques doesn't hold me back. I will just jump into it!","I choose patterns that I think are attractive and somewhat challenging.  I am not afraid to try new techniques nor to modify patterns.  ","Ask / find answers on internet forums / blogs","Digital","Digital patterns;Video tutorials","No, I would like to keep my data on one device","","I am not a fan of apps, in general.  Ravelry provides me with far more functions than I use, so I don't see a need for an app.","Good luck!"
"2022/10/09 2:12:58 AM CET","More than 20 years","Daily","1 - 2 hours","USA","Get relaxed and relief stress;Being creative by trying new stitch types, knitting techniques or new designs;Creating knitwear designs I can't buy;Enjoying the process of creating useful items;To make knitwear that fits exactly on my body;It's like a ""fidget spinner"" for me with a product at the end.","The older generations in my family passed the craft on to me","At home","Pattern sellers/databases (e.g., Ravelry, Etsy, Yarnbook);Magazines;Yarn shops;My imagination","Knitwear for myself;Gifts for friends and family;Household items","Large projects (E.g., adults knitwear)","I choose yarn based on its quality/texture/material/color","Physical shops to be able to feel the yarn","","Stitch markers;Measureing tape;Stitch holder cord;Circular needles;Double-pointed needles;Cable needles (Short, straight/curved needle to hold stitches in cable knitting);Needle gauge;Swatch gauge;Row/round counter / knitting counter;Yarn needles (For weaving in yarn e.g., yarn ends);Equiment for blocking;Scissor / Yarn cutter;Wool winder;Stitch stoppers / point protectors;Notebook & pen","Circular needles;Equiment for blocking;Notebook & pen","The difficult level/techniques doesn't hold me back. I will just jump into it!","What motivates me is I want the item. I learn new skills through videos and books.","YouTube offers great help","Physical","Overview of knitting projects;Digital patterns;Tool for calculating yarn amount;Video tutorials","Yes, it could be nice to share the data on multiple devices","I prefer a larger formal at home, like a tablet. I prefer my phone when out if I need to refer to the pattern.","I don't take as much advantage of apps as they offer.",""
"2022/10/09 3:38:53 AM CET","11 - 20 years","Daily","1 - 2 hours","USA","Get relaxed and relief stress;Being creative by trying new stitch types, knitting techniques or new designs;To let the hours pass by (eg., while traveling, watching TV);Enjoying the process of creating useful items;To make knitwear that fits exactly on my body","The older generations in my family passed the craft on to me","At home","Social media (e.g., Instagram, YouTube, TikTok, Facebook, Pinterest);Pattern sellers/databases (e.g., Ravelry, Etsy, Yarnbook);Yarn shops;My imagination","Knitwear for myself;Gifts for friends and family;Knitwear for my children","Small projects (E.g., gloves, hats, socks, cloths)","I spin my own yarn","Physical shops to be able to feel the yarn","","Stitch markers;Measureing tape;Stitch holder cord;Circular needles;Double-pointed needles;Knitting needles (straight knitting needles);Cable needles (Short, straight/curved needle to hold stitches in cable knitting);Trio needles / Flexiflips (Hybrid between double-pointed needle and circular needle);Needle gauge;Swatch gauge;Row/round counter / knitting counter;Yarn needles (For weaving in yarn e.g., yarn ends);Equiment for blocking;Scissor / Yarn cutter;Wool winder;Stitch stoppers / point protectors;Knitting app(s);Notebook & pen","Measureing tape;Double-pointed needles;Yarn needles (For weaving in yarn e.g., yarn ends)","The difficult level/techniques doesn't hold me back. I will just jump into it!","New skills are what draws me to a pattern and how I learn them. Im not afraid of new skills, it can always be tinked back or frogged!","YouTube offers great help","Digital","Storage for yarn and needles;Overview of knitting projects;Digital patterns;Knitting counter;Tool for calculating yarn amount;Location of yarn shops;Video tutorials;General notes","Yes, it could be nice to share the data on multiple devices","When at a yarn shop you will have your phone but not the computer I would have entered the info on. Plus my tablet would have it when my phone is charging or across the room.","A place to list websites for yarn, designers, patterns would be nice with links. Also plenty of detail on projects, yarns, where they are stored, and filters to look at what I want. Also the option to take a pic of a pattern and have it digitized and added to my digital patterns would be lovely!! ","If something is created please let us know on Ravelry! "
